epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,13280.5,0.76963,0.93559,1.11174,0.87881,0.78139,0.8673,0.7612,0.4365,0.65667,0.79213,0.000669012,0.000669012,0.000669012
159,13363.8,0.77307,0.93512,1.11731,0.87893,0.78251,0.86733,0.76166,0.43562,0.65527,0.79091,0.000665339,0.000665339,0.000665339
160,13447.7,0.76952,0.92585,1.11089,0.88172,0.78247,0.86668,0.76157,0.43599,0.6554,0.79195,0.000661656,0.000661656,0.000661656
161,13531.1,0.7695,0.92481,1.1124,0.8787,0.78439,0.86708,0.76203,0.43506,0.65471,0.79068,0.000657963,0.000657963,0.000657963
162,13614.9,0.76759,0.92825,1.11051,0.88132,0.78315,0.86703,0.76177,0.43492,0.65343,0.79063,0.000654261,0.000654261,0.000654261
163,13699.1,0.77206,0.92581,1.11321,0.88339,0.78167,0.86715,0.76203,0.43466,0.65114,0.79039,0.00065055,0.00065055,0.00065055
164,13782.7,0.7659,0.9275,1.1117,0.88466,0.78266,0.86737,0.76204,0.43446,0.64856,0.7901,0.00064683,0.00064683,0.00064683
165,13867.5,0.76258,0.92171,1.11041,0.88284,0.78515,0.86748,0.76201,0.43442,0.64788,0.79016,0.000643101,0.000643101,0.000643101
166,13951.1,0.77169,0.92753,1.11795,0.87969,0.78578,0.86758,0.76205,0.43419,0.64814,0.79014,0.000639363,0.000639363,0.000639363
167,14034.7,0.7659,0.91213,1.11076,0.87294,0.79056,0.86843,0.76258,0.43401,0.64844,0.79011,0.000635617,0.000635617,0.000635617
168,14118.6,0.76437,0.91336,1.10955,0.87227,0.79077,0.86856,0.76314,0.43397,0.64674,0.79021,0.000631863,0.000631863,0.000631863
169,14202.5,0.76649,0.91606,1.11115,0.87721,0.78765,0.86882,0.76343,0.43363,0.64604,0.79021,0.000628101,0.000628101,0.000628101
170,14286.8,0.75637,0.90388,1.10669,0.87294,0.78938,0.86903,0.76425,0.43347,0.6462,0.79043,0.000624332,0.000624332,0.000624332
171,14370.6,0.76086,0.9127,1.11112,0.87239,0.79109,0.86924,0.76458,0.43297,0.64544,0.79032,0.000620555,0.000620555,0.000620555
172,14454.7,0.76181,0.89817,1.11063,0.87069,0.79312,0.86905,0.76419,0.43238,0.64554,0.79002,0.000616772,0.000616772,0.000616772
173,14538.1,0.74909,0.90464,1.10404,0.87437,0.79222,0.86937,0.76457,0.4321,0.64562,0.78994,0.000612981,0.000612981,0.000612981
174,14621.5,0.74609,0.88135,1.10089,0.87892,0.79036,0.86884,0.76461,0.43165,0.64728,0.78978,0.000609184,0.000609184,0.000609184
175,14705.4,0.75345,0.89198,1.10619,0.8831,0.78611,0.86901,0.76454,0.43135,0.64971,0.78968,0.00060538,0.00060538,0.00060538
176,14789,0.75652,0.90954,1.10879,0.88167,0.78836,0.86894,0.76473,0.4311,0.64913,0.78964,0.00060157,0.00060157,0.00060157
177,14872.4,0.75142,0.89775,1.10544,0.86686,0.79778,0.86909,0.76473,0.43076,0.64871,0.78957,0.000597754,0.000597754,0.000597754
