epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,19906.3,0.74596,0.91391,1.12641,0.85554,0.81128,0.87446,0.78454,0.39154,0.65588,0.77496,0.000753621,0.000753621,0.000753621
135,20054.2,0.73795,0.91974,1.12606,0.85691,0.81033,0.87454,0.78466,0.39083,0.651,0.77419,0.000750252,0.000750252,0.000750252
136,20202.6,0.74427,0.92035,1.12819,0.86654,0.80347,0.87474,0.78516,0.39036,0.64637,0.77401,0.000746868,0.000746868,0.000746868
137,20351.2,0.73996,0.91057,1.12584,0.86796,0.80196,0.87482,0.78541,0.39042,0.64396,0.77452,0.000743468,0.000743468,0.000743468
138,20500.8,0.74614,0.90327,1.13299,0.87081,0.80047,0.87496,0.7857,0.38988,0.64293,0.77425,0.000740054,0.000740054,0.000740054
139,20649.5,0.73917,0.91059,1.1276,0.87169,0.80032,0.87503,0.78614,0.38912,0.64053,0.77399,0.000736625,0.000736625,0.000736625
140,20797.6,0.73941,0.91626,1.1276,0.87261,0.80116,0.87578,0.78609,0.3887,0.63469,0.77377,0.000733182,0.000733182,0.000733182
141,20945.4,0.73163,0.89886,1.12507,0.87425,0.80018,0.87599,0.78664,0.38801,0.6297,0.77379,0.000729725,0.000729725,0.000729725
142,21094.1,0.74015,0.90465,1.12752,0.87414,0.80223,0.87619,0.78719,0.38729,0.62811,0.77361,0.000726254,0.000726254,0.000726254
143,21243.4,0.73833,0.91526,1.12458,0.87311,0.80407,0.8764,0.78776,0.3868,0.62588,0.77325,0.00072277,0.00072277,0.00072277
144,21391.3,0.73718,0.9063,1.12355,0.87425,0.80407,0.87689,0.78851,0.38643,0.62448,0.77306,0.000719272,0.000719272,0.000719272
145,21539.7,0.73664,0.90064,1.12416,0.87054,0.80523,0.87697,0.78872,0.38562,0.62179,0.7727,0.000715761,0.000715761,0.000715761
146,21688.4,0.73399,0.89162,1.121,0.86776,0.80651,0.87709,0.78937,0.38498,0.62002,0.77245,0.000712237,0.000712237,0.000712237
147,21836.6,0.73044,0.88604,1.12083,0.86868,0.80836,0.87734,0.78947,0.38431,0.61801,0.77201,0.0007087,0.0007087,0.0007087
148,21985.1,0.72732,0.8788,1.11773,0.8658,0.81229,0.87765,0.7896,0.38374,0.61344,0.77204,0.00070515,0.00070515,0.00070515
149,22134.9,0.7261,0.88867,1.11879,0.87292,0.8115,0.87791,0.78994,0.38332,0.61186,0.77188,0.000701588,0.000701588,0.000701588
150,22284,0.72037,0.87823,1.11983,0.87433,0.81161,0.87818,0.79043,0.38308,0.60876,0.77185,0.000698014,0.000698014,0.000698014
151,22431.6,0.72993,0.88472,1.12091,0.87244,0.81276,0.87863,0.79109,0.38261,0.60506,0.7717,0.000694428,0.000694428,0.000694428
152,22580.8,0.72438,0.87829,1.11592,0.87167,0.81309,0.87893,0.79146,0.38247,0.6031,0.77166,0.000690831,0.000690831,0.000690831
153,22729.5,0.71963,0.8725,1.11464,0.87255,0.81305,0.8791,0.79204,0.38239,0.59923,0.77164,0.000687222,0.000687222,0.000687222
154,22878.2,0.72716,0.87577,1.11779,0.87208,0.8136,0.8793,0.79211,0.38214,0.59969,0.77175,0.000683601,0.000683601,0.000683601
155,23028,0.72309,0.86984,1.11609,0.87221,0.8136,0.87938,0.79228,0.38103,0.59633,0.7712,0.00067997,0.00067997,0.00067997
156,23176.2,0.71573,0.87207,1.11622,0.8724,0.81405,0.87952,0.79205,0.38061,0.59367,0.7712,0.000676328,0.000676328,0.000676328
157,23323.7,0.71204,0.86531,1.11016,0.87221,0.81429,0.87991,0.79246,0.38046,0.593,0.77126,0.000672675,0.000672675,0.000672675
158,23471.6,0.71447,0.85902,1.10981,0.8719,0.81501,0.87989,0.79264,0.37985,0.59,0.77081,0.000669012,0.000669012,0.000669012
159,23620.1,0.71536,0.86074,1.11544,0.86998,0.81586,0.88028,0.79284,0.37929,0.59121,0.77052,0.000665339,0.000665339,0.000665339
160,23767.8,0.71336,0.85766,1.11051,0.87114,0.8157,0.88036,0.79271,0.37902,0.58865,0.77039,0.000661656,0.000661656,0.000661656
161,23915.7,0.7145,0.85508,1.10967,0.8728,0.81525,0.88066,0.79344,0.37858,0.5886,0.77034,0.000657963,0.000657963,0.000657963
162,24064.5,0.71095,0.85443,1.10886,0.87359,0.81471,0.88077,0.79365,0.37795,0.58573,0.77001,0.000654261,0.000654261,0.000654261
163,24212.4,0.71137,0.85003,1.10793,0.87437,0.81419,0.88117,0.79429,0.37741,0.5791,0.76983,0.00065055,0.00065055,0.00065055
164,24360.4,0.71033,0.85177,1.10911,0.87762,0.8117,0.88147,0.79438,0.3772,0.57758,0.76993,0.00064683,0.00064683,0.00064683
165,24508.6,0.7088,0.84568,1.10898,0.87929,0.81106,0.88161,0.79461,0.37681,0.5734,0.76972,0.000643101,0.000643101,0.000643101
166,24656.4,0.71485,0.84751,1.11298,0.88275,0.81009,0.88198,0.7952,0.37629,0.57194,0.76937,0.000639363,0.000639363,0.000639363
167,24804.2,0.70375,0.83628,1.10422,0.88222,0.81006,0.88175,0.79503,0.37593,0.56719,0.76921,0.000635617,0.000635617,0.000635617
168,24951.8,0.70526,0.84372,1.1064,0.8822,0.81,0.88179,0.79557,0.37546,0.56447,0.769,0.000631863,0.000631863,0.000631863
169,25100.3,0.70719,0.84222,1.10648,0.88103,0.81046,0.88197,0.79609,0.37541,0.56179,0.76905,0.000628101,0.000628101,0.000628101
170,25249.6,0.70284,0.8332,1.10586,0.88122,0.8102,0.88226,0.7966,0.3747,0.55747,0.76864,0.000624332,0.000624332,0.000624332
171,25397.5,0.70446,0.83718,1.1054,0.87706,0.81388,0.88258,0.79679,0.37432,0.55333,0.76831,0.000620555,0.000620555,0.000620555
172,25546.1,0.70623,0.83276,1.1075,0.87877,0.81303,0.88241,0.79723,0.37389,0.54894,0.7682,0.000616772,0.000616772,0.000616772
173,25694,0.69522,0.82658,1.10084,0.87933,0.81427,0.88263,0.79795,0.37362,0.54629,0.76811,0.000612981,0.000612981,0.000612981
174,25842.2,0.69475,0.81267,1.09878,0.87984,0.81413,0.88274,0.79771,0.37359,0.54462,0.76817,0.000609184,0.000609184,0.000609184
175,25990.5,0.69576,0.81765,1.1021,0.88047,0.81354,0.88273,0.79763,0.37341,0.54179,0.76825,0.00060538,0.00060538,0.00060538
176,26138.1,0.69971,0.82707,1.105,0.88155,0.81293,0.88286,0.79786,0.37298,0.53862,0.76809,0.00060157,0.00060157,0.00060157
177,26285.3,0.69601,0.82509,1.10046,0.88228,0.81359,0.88281,0.79746,0.37259,0.53532,0.76804,0.000597754,0.000597754,0.000597754
178,26433.2,0.69648,0.81614,1.09781,0.88163,0.81175,0.88287,0.79793,0.37197,0.53174,0.76768,0.000593932,0.000593932,0.000593932
